"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | BMW | Ford | Honda | Mercedes-Benz | Subaru | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD78B7254"
"ColumnCount:",6
"RowCount:",552

"Time","All Types, BMW, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #"
"04/2014",31,513,265,18,23
"05/2014",35,494,263,30,22
"06/2014",40,541,300,25,33
"07/2014",30,550,309,25,27
"08/2014",49,596,323,23,30
"09/2014",36,523,294,29,29
"10/2014",46,637,290,20,35
"11/2014",40,620,282,23,30
"12/2014",40,624,275,29,28
"01/2015",38,560,243,27,33
"02/2015",25,481,205,19,33
"03/2015",36,568,247,35,38
"04/2015",40,526,265,30,32
"05/2015",33,619,320,33,30
"06/2015",44,591,321,27,45
"07/2015",39,598,350,27,41
"08/2015",41,639,349,26,42
"09/2015",41,651,317,24,39
"10/2015",51,644,331,33,35
"11/2015",46,634,267,38,27
"12/2015",51,639,304,39,36
"01/2016",33,516,231,35,42
"02/2016",39,532,271,35,30
"03/2016",33,557,318,26,31
"04/2016",41,591,309,37,21
"05/2016",44,606,345,27,35
"06/2016",47,652,379,31,32
"07/2016",55,614,331,35,32
"08/2016",44,656,364,34,37
"09/2016",44,648,327,32,39
"10/2016",49,696,339,42,36
"11/2016",40,668,367,34,56
"12/2016",53,656,313,37,35
"01/2017",36,564,264,57,25
"02/2017",35,454,251,29,41
"03/2017",45,611,281,29,52
"04/2017",45,582,298,48,35
"05/2017",44,590,357,41,32
"06/2017",48,667,369,37,48
"07/2017",57,683,387,43,31
"08/2017",49,624,336,26,45
"09/2017",51,625,382,39,35
"10/2017",37,677,326,31,33
"11/2017",50,680,299,37,47
